Phase,Step,,Action,Primary Role,Supporting Roles,Dependencies / Contingencies,Friction,Owner Time,Agent Time,Time Elapsed,Estimated Cost ($),Cakewalk Reimagination,Notes,,
Phase 0,0.1,Agent licensing & compliance,"Maintain licenses, CE, appointments",Agent,"Carriers, Regulators",Appointment approval,Time cost; limits products,,10,,750,Eliminated,Cakewalk Provides,,
Phase 0,0.2,Product knowledge,Learn products & positioning,Agent,"Carrier reps, Training",Training availability,Cognitive load; bias,,20,,1500,Eliminated,Cakewalk Provides,,
Phase 0,0.3,Carrier Appointments,Obtain Carrier Appointment,Agent,"Carrier Reps, Carrier Onboarding","Carrier Resources, technology","Additional Business Processes, Paperwork",,10,,750,Eliminated,Cakewalk Provides,,
Phase 0,0.4,Carrier Rep Assignement,Gain access to carriers through Reps,Agent,Carrier Rep,Where does Carrier have opertions,Win Carrier Attention,,10,,750,Eliminated,Cakewalk Provides,,
Phase 1,1.1,Lead generation,Identify SMB prospects,Agent,"CRM, Marketing",Lead quality,High effort; low scale,,3,,225,Block Engagement,Cakewalk Block assessment,,
Phase 1,1.2,Initial contact,Discovery conversation,Agent,—,Owner interest,Low urgency; stalls,1,3,,225,Cakewalk AI,Present Best Fit package,1,1
Phase 1,1.3,Needs assessment,Collect high-level info,Agent,CRM tools,Data accuracy,Owner fatigue,1,2,,150,Cakewalk AI,Present Best Fit package,,
Phase 1,1.4,Determine Contributions,Determine $ Amount Owner wants to contribute,Owner,Agent,Best Practice,"Confusion, Determine HIghest Value",2,1,,75,Cakewalk AI,Present Best Fit and Tweak,,
Phase 2,2.1,Census request,Request employee data,Agent,Employer HR/Payroll,Employer response,High effort; privacy,1,2,,150,Cakewalk API,Platform integration,,
Phase 2,2.2,Census validation,Normalize data,Agency,Excel/Admin tech,Data quality,"Manual, error-prone",1,1,,75,Cakewalk UW Engine,,,
Phase 3,3.1,Carrier selection,Select carriers/products to source from ,Agent,"GA, Carrier reps",Carrier appetite,Too many options,,1,,75,Eliminated,Cakewalk Provides,,
Phase 3,3.2,Plan Requests,Determine appropriate Plan Requests,Agent,Carrier Rep. ,Optimal Customer Fit v. Risk Rules,Lack of Knowledge,,1,,75,Cakewalk AI,,,
Phase 3,3.3,Quote submission,Submit census,Agent/GA,Carrier portals,System access,Redundant entry,,2,,150,Eliminated,,,
Phase 3,3.4,Underwriting,Price plans,Carrier,UW systems,Risk review,Delays,,3,,225,Eliminated,,,
Phase 3,3.5,Answer Carrier Questions,Clarify Data,Agent,Carrier Rep,Consistent Answers,Inconsistency ,,2,,150,Eliminated,Cakewalk Experience,,
Phase 3,3.6,Follow up with Carriers,Track down Proposal,Agent,Carrier Reps,Availability and Interest,Time deadlines,,1,,75,Eliminated,,,
Phase 3,3.7,Plan design,Compare & design,Agent,Benefits platforms,Employer prefs,Decision overload,,4,,300,Cakewalk AI,Present Best Fit and Tweak,,
Phase 4,4.1,Proposal creation,Build proposal,Agent,Proposal tools,Compliance,Customization effort,,3,,225,Eliminated,Auto Generated,,
Phase 4,4.2,Presentation,Present options,Agent,—,Employer questions,Budget anxiety,1,4,,300,Eliminated,Auto Generated,,
Phase 4,4.3,Decision,Select plans,Owner,Agent,Internal approvals,Delays,2,2,,150,Yes/No/Tweak,,,
Phase 4,4.4,Iterate,Modify and present Alteratives,Agent/Owner,Carrier Reps,Carrier Interest,Convince carrier to engage,2,2,,150,Embedded Cakewalk AI,Tweak Only to optimize,,
Phase 5,5.1,Source Enrollment System,Find Best fit platform,Agent ,Tech compatibility ,Licensing learning curve,Cost & Knowledge,,2,,150,Eliminated,,,
Phase 5,5.2,Determine Enrollment window,Selection dates for Open/Close,Agent,Owner,Calendaring,Determine Best Fit,1,1,,75,EmbeddedCakewalk AI,Auto Generated,,
Phase 5,5.3,Enrollment setup,Configure platform,Agent/TPA,Admin tech,Platform readiness,Weeks to set,,5,,375,Eliminated,Cakewalk Experience,,
Phase 5,5.4,Education,Communicate benefits,Agent/Owner,"PDFs, Webinars",Employee engagement,Low comprehension,2,3,,225,Embedded Cakewalk AI,Cakewalk Experience,,
Phase 5,5.5,Selection,Employees enroll,Employee,Enrollment tech,Deadlines,Choice overload,,4,,300,Yes/No/Tweak,Cakewalk Experience,,
Phase 5,5.6,Manage enrollment window; Extend/adjust,Determine appropriate dates open/Close/adjust,Owner,Owner,Calendaring,Best fit,1,2,,150,Cakewalk AI,Cakewalk Experience,,
Phase 5,5.7,Answer enrollment questions,Answer Specfic Employee Questions,Agent,Owner,"Window, Medium",Subjejctive Answers,,3,,225,Cakewalk AI,Cakewalk Experience,,
Phase 6,6.1,Submission,Send enrollment Feed,TPA/Agent,Carrier systems,Data match,Corrections,,2,,150,Eliminated,Just Finalize,,
Phase 6,6.2,Confirm Elections/Deduction,Confirm product selection and deductions,Owner,Agent,Carrier reporting,Corrections and clarifications ,,3,,225,Cakewalk Dashboard,Auto Generated,,
Phase 6,6.3,Issuance,Issue policies,Carrier,Policy admin,Capacity,Delays,,3,,225,Eliminated,Owner Confirms,1,
Phase 6,6.4,Issuance,Complete application with Signature,Agent,Owner,,Confusing Paperwork,0.5,,,0,Eliminated,Owner Signs Attestation,,
Phase 6,6.5,Billing,Ensure Binder payment collected,Agent,Owner,,Follow up,0.5,1,,75,Eliminated,,,
Phase 6,6.6,Billing,Set up billing,Carrier/Owner,Payroll,Reconciliation,Late payments,2,2,,150,Integrated,Owner selects funding source,1,
Phase 6,6.7,Billing,Review Initial Bill,Agent/Carrier,Owner,,Errors,1,1,,75,Cakewalk Dashboard,Review/Confirm,0.5,
Phase 6,6.8,Billing,Ensure Remittance,Agent,Bank/Funding Source,,ACH or CC setup,1,1,,75,Eliminated,ACH/CC only no follow up,,
Phase 7,7.1,Changes,Manage life events,Employer/Agent,Admin tech,Timeliness,Manual updates,,2,,150,Eliminated,Auto Fed,,
Phase 7,7.2,Feed changes to carriers,Deliver Elig. file changes to carrier,Agent,Carrier systems,,Inconsistent Carrier Technologies,,1,,75,Cakewalk Wallet,Auto Generated through Wallet,,
Phase 7,7.3,Support,Claims & questions,Agent/Carrier,Call centers,Carrier access,Slow resolution,,2,,150,Integrated,Outsourced to AI LLM model,,
Phase 7,7.4,Renewal,Re-quote & renew,Agent,Carriers,Rate changes,Re-selling,,2,,150,Integrated,Portfolio Level Only,,
,,,,,,,,,,,,,,,
,,,,,,,Pre Cakewalk,20,127,,"$9,525",,,,
,,,,,,,Post Cakewalk,3.5,,,tbd,,,,